Index,Car Name,Color,Model Year,Mileage (kmpl),Fuel Type,Transmission,Engine CC,Number of Seats,Current Price (lakhs)
1214,Audi Q5,Grey,2015,15,Diesel,Automatic,1984,7,12.9
1215,Honda City,White,2019,14,Diesel,Manual,1400,7,21.4
1216,Mahindra XUV500,Orange,2018,24,Diesel,Manual,2179,7,26.1
1217,Hyundai i20,Orange,2015,21,Diesel,Automatic,1400,5,30.1
1218,Honda City,Yellow,2019,24,Petrol,Manual,1498,5,18.0
1219,Hyundai i20,Red,2020,12,Diesel,Manual,1498,7,24.1
1220,Kia Seltos,Grey,2017,24,Petrol,Automatic,1995,5,50.9
1221,Hyundai i20,Orange,2015,17,Petrol,Automatic,800,5,20.4
1222,Honda City,Grey,2019,14,Petrol,Manual,1200,5,34.9
1223,Tata Nexon,Grey,2019,11,Diesel,Automatic,1500,5,49.1
1224,Toyota Innova,Brown,2015,11,Diesel,Manual,1984,5,20.5
1225,Hyundai i20,Orange,2022,19,Petrol,Manual,1500,7,46.3
1226,Maruti Alto,Orange,2022,22,Petrol,Automatic,800,7,12.0
1227,BMW X1,Black,2021,22,Petrol,Automatic,800,5,38.9
1228,Ford EcoSport,Orange,2018,15,Diesel,Manual,1984,5,53.8
1229,Honda City,Yellow,2020,11,Petrol,Automatic,1984,5,11.2
1230,Audi Q5,Red,2018,16,Petrol,Manual,2179,5,10.4
1231,Mahindra XUV500,Green,2016,23,Petrol,Manual,1500,7,24.9
1232,Maruti Alto,Grey,2016,10,Diesel,Manual,1984,7,38.6
1233,BMW X1,Brown,2015,11,Petrol,Automatic,2179,7,32.0
1234,Mahindra XUV500,Yellow,2022,15,Diesel,Manual,1500,5,12.9
1235,Toyota Innova,Orange,2021,24,Petrol,Automatic,2400,7,37.5
1236,Maruti Alto,White,2022,19,Diesel,Manual,1984,7,20.6
1237,Mahindra XUV500,Black,2016,23,Diesel,Automatic,1500,5,27.9
1238,Hyundai i20,Blue,2022,16,Petrol,Automatic,1200,5,5.5
1239,Hyundai i20,Yellow,2015,20,Petrol,Automatic,1984,7,19.7
1240,Honda City,Black,2015,22,Petrol,Manual,800,5,38.1
1241,Maruti Alto,Yellow,2016,13,Petrol,Automatic,2400,7,27.7
1242,Tata Nexon,Green,2020,10,Diesel,Automatic,1500,7,39.8
1243,Mahindra XUV500,White,2018,22,Diesel,Automatic,2179,7,16.8
1244,BMW X1,Orange,2018,10,Diesel,Manual,1984,5,31.2
1245,Honda City,Orange,2016,15,Diesel,Automatic,1995,7,47.7
1246,BMW X1,Green,2021,23,Diesel,Automatic,2400,7,18.9
1247,Tata Nexon,White,2020,11,Petrol,Manual,2179,5,51.1
1248,Tata Nexon,Red,2019,15,Petrol,Automatic,1498,7,40.1
1249,BMW X1,Silver,2020,19,Petrol,Manual,2400,7,43.1
1250,BMW X1,Green,2020,17,Petrol,Automatic,1400,5,45.7
1251,BMW X1,Red,2016,19,Petrol,Manual,1500,5,12.9
1252,Honda City,White,2018,14,Petrol,Automatic,1500,5,11.8
1253,BMW X1,Orange,2020,16,Petrol,Automatic,1500,5,36.8
1254,BMW X1,White,2017,11,Diesel,Manual,1400,7,24.4
1255,Audi Q5,Blue,2016,23,Petrol,Manual,1984,7,43.2
1256,Toyota Innova,Brown,2019,19,Diesel,Automatic,1200,7,11.1
1257,Ford EcoSport,Grey,2015,20,Petrol,Manual,1200,5,15.1
1258,Hyundai i20,Red,2020,10,Petrol,Automatic,2179,5,48.6
1259,Maruti Alto,Grey,2017,16,Petrol,Automatic,2179,7,3.9
1260,Ford EcoSport,Blue,2017,22,Petrol,Automatic,800,5,25.3
1261,Tata Nexon,Blue,2018,22,Diesel,Manual,2400,5,15.4
1262,Toyota Innova,Black,2021,23,Diesel,Automatic,1400,5,26.0
1263,Tata Nexon,Green,2015,10,Diesel,Manual,1400,7,4.2
1264,BMW X1,Brown,2016,24,Petrol,Manual,1498,7,50.8
1265,Toyota Innova,Yellow,2022,21,Diesel,Automatic,2179,7,19.8
1266,Hyundai i20,Green,2022,18,Diesel,Automatic,1995,5,34.2
1267,Ford EcoSport,Brown,2015,18,Petrol,Manual,2400,7,19.3
1268,Hyundai i20,Black,2022,21,Petrol,Automatic,1400,5,6.4
1269,Toyota Innova,Yellow,2015,23,Diesel,Manual,2400,5,42.4
1270,Tata Nexon,Red,2020,12,Petrol,Manual,2400,5,8.4
1271,Mahindra XUV500,Silver,2019,15,Diesel,Automatic,1995,5,10.9
1272,BMW X1,Silver,2020,23,Diesel,Automatic,1984,7,26.2
1273,BMW X1,Red,2016,24,Petrol,Manual,1400,7,40.2
1274,Hyundai i20,White,2020,11,Petrol,Automatic,2400,5,7.3
1275,BMW X1,Blue,2021,20,Diesel,Manual,2179,5,45.5
1276,Honda City,Orange,2020,16,Diesel,Automatic,1400,7,28.2
1277,Maruti Alto,Red,2016,14,Petrol,Manual,1500,5,29.3
1278,Maruti Alto,Red,2022,10,Diesel,Manual,1984,5,27.9
1279,Toyota Innova,Blue,2022,22,Diesel,Manual,1498,5,4.6
1280,Honda City,Brown,2020,12,Petrol,Manual,2179,5,19.1
1281,Audi Q5,Green,2020,23,Petrol,Automatic,1995,7,27.2
1282,Honda City,Black,2016,18,Petrol,Manual,2400,7,7.6
1283,Tata Nexon,Grey,2020,11,Diesel,Manual,2400,7,34.7
1284,Toyota Innova,Yellow,2016,20,Diesel,Manual,1200,5,44.1
1285,Mahindra XUV500,Black,2017,24,Diesel,Manual,2400,5,29.2
1286,Kia Seltos,Grey,2015,15,Diesel,Manual,1400,7,48.5
1287,Audi Q5,White,2021,21,Diesel,Automatic,1400,5,21.0
1288,Mahindra XUV500,White,2019,16,Petrol,Automatic,1498,7,4.6
1289,BMW X1,Blue,2022,12,Diesel,Manual,2400,7,28.5
1290,Honda City,Blue,2018,17,Diesel,Manual,1500,7,39.2
1291,Audi Q5,Black,2019,15,Petrol,Automatic,1498,5,20.9
1292,Hyundai i20,Red,2017,16,Diesel,Automatic,2179,7,17.5
1293,Kia Seltos,Silver,2019,17,Petrol,Automatic,1200,5,7.6
1294,Toyota Innova,Silver,2019,11,Petrol,Automatic,1200,7,45.7
1295,Audi Q5,Blue,2019,24,Petrol,Automatic,800,5,40.4
1296,Kia Seltos,Brown,2020,23,Petrol,Automatic,1500,5,27.2
1297,Tata Nexon,Grey,2018,14,Petrol,Automatic,1200,5,4.6
1298,Maruti Alto,Grey,2020,24,Diesel,Manual,1400,5,38.4
1299,Toyota Innova,White,2021,15,Diesel,Automatic,1984,7,8.1
1300,Ford EcoSport,Black,2015,12,Petrol,Manual,800,7,27.0
1301,Audi Q5,White,2020,22,Diesel,Automatic,1498,5,4.0
1302,Mahindra XUV500,Orange,2020,24,Diesel,Automatic,1500,7,51.4
1303,Mahindra XUV500,Silver,2022,14,Petrol,Automatic,1500,7,49.4
1304,BMW X1,Red,2019,10,Petrol,Manual,800,7,28.1
1305,Honda City,Silver,2019,19,Petrol,Automatic,1200,7,7.3
1306,Kia Seltos,Green,2020,24,Petrol,Manual,1400,7,48.8
1307,Honda City,Brown,2022,22,Petrol,Automatic,1995,7,44.2
1308,BMW X1,Black,2020,21,Diesel,Manual,1500,7,37.4
1309,Kia Seltos,Silver,2019,15,Diesel,Manual,1500,5,40.0
1310,Maruti Alto,Green,2017,10,Diesel,Automatic,2400,5,50.1
1311,Mahindra XUV500,Grey,2016,20,Diesel,Automatic,1200,7,12.3
1312,Tata Nexon,Grey,2022,16,Diesel,Automatic,800,5,32.9
1313,Honda City,Green,2017,14,Diesel,Automatic,800,7,28.5
1314,Mahindra XUV500,Yellow,2017,18,Petrol,Automatic,1995,5,21.0
1315,Ford EcoSport,Grey,2016,16,Petrol,Automatic,800,7,10.3
1316,Maruti Alto,Red,2020,15,Petrol,Manual,1995,7,17.6
1317,Audi Q5,White,2016,23,Diesel,Manual,1984,7,26.8
1318,Honda City,Grey,2021,15,Petrol,Manual,1984,7,54.1
1319,Ford EcoSport,Orange,2021,15,Petrol,Manual,1984,5,26.6
1320,Honda City,Black,2021,21,Petrol,Automatic,2400,5,15.3
1321,Maruti Alto,Brown,2015,19,Petrol,Manual,1995,5,11.0
1322,Maruti Alto,Brown,2021,15,Diesel,Manual,1400,5,15.5
1323,Hyundai i20,Grey,2018,14,Petrol,Automatic,1984,7,45.3
1324,Hyundai i20,White,2020,13,Petrol,Manual,1500,5,10.0
1325,Toyota Innova,White,2017,19,Petrol,Manual,2179,5,22.0
1326,Maruti Alto,Blue,2021,11,Petrol,Automatic,2400,7,47.9
1327,BMW X1,Yellow,2021,19,Petrol,Automatic,2179,7,5.8
1328,Hyundai i20,Blue,2019,24,Petrol,Automatic,2179,5,36.1
1329,Mahindra XUV500,Brown,2017,15,Diesel,Manual,1500,5,40.0
1330,Kia Seltos,Red,2015,20,Diesel,Manual,2400,5,18.0
1331,Audi Q5,Brown,2022,24,Diesel,Manual,800,7,41.0
1332,Maruti Alto,Red,2021,11,Diesel,Manual,1995,5,53.8
1333,Honda City,Green,2017,14,Diesel,Automatic,2400,7,43.6
1334,Honda City,Black,2015,19,Petrol,Automatic,1200,5,53.3
1335,Hyundai i20,Blue,2017,21,Petrol,Automatic,1200,5,28.4
1336,BMW X1,Yellow,2015,10,Diesel,Manual,1200,5,40.6
1337,Toyota Innova,Blue,2016,13,Petrol,Automatic,1984,7,29.7
1338,Tata Nexon,Yellow,2021,23,Diesel,Automatic,1984,7,4.2
1339,Mahindra XUV500,Green,2020,18,Petrol,Manual,1984,7,10.1
1340,Honda City,White,2017,10,Petrol,Automatic,2179,5,48.9
1341,Kia Seltos,Red,2017,24,Petrol,Manual,1984,7,36.2
1342,Mahindra XUV500,White,2017,10,Petrol,Automatic,1400,7,46.9
1343,Tata Nexon,Blue,2018,18,Diesel,Manual,1995,7,44.1
1344,Hyundai i20,Green,2019,16,Diesel,Manual,2179,5,35.6
1345,Tata Nexon,Black,2019,13,Diesel,Automatic,1200,7,38.8
1346,Tata Nexon,Red,2019,22,Diesel,Automatic,1200,7,21.8
1347,Audi Q5,Yellow,2019,22,Diesel,Manual,1995,5,47.9
1348,BMW X1,Blue,2019,17,Petrol,Automatic,1995,7,29.6
1349,Toyota Innova,White,2017,11,Petrol,Automatic,1498,5,18.6
1350,Honda City,Orange,2017,10,Petrol,Manual,2400,7,35.9
1351,Honda City,Green,2017,10,Diesel,Automatic,800,7,13.7
1352,Toyota Innova,Yellow,2017,24,Diesel,Manual,2179,7,29.9
1353,Honda City,Silver,2017,23,Petrol,Automatic,800,5,32.6
1354,Kia Seltos,Black,2021,15,Diesel,Automatic,2179,7,51.7
1355,Ford EcoSport,Yellow,2017,20,Petrol,Manual,1500,5,40.3
1356,Mahindra XUV500,Silver,2015,19,Petrol,Automatic,2179,7,29.1
1357,Audi Q5,Grey,2017,12,Diesel,Manual,800,5,27.1
1358,BMW X1,Red,2022,13,Petrol,Automatic,1200,5,18.1
1359,Tata Nexon,Green,2021,16,Diesel,Automatic,1984,7,41.4
1360,Hyundai i20,Silver,2019,23,Diesel,Automatic,2179,7,39.9
1361,Toyota Innova,Orange,2015,18,Petrol,Automatic,800,7,29.7
1362,Maruti Alto,Brown,2017,10,Diesel,Manual,1995,5,53.1
1363,Honda City,Black,2021,13,Diesel,Manual,1498,7,54.7
1364,Ford EcoSport,White,2015,23,Diesel,Manual,1984,5,39.1
1365,Audi Q5,Green,2020,16,Petrol,Automatic,1200,5,16.0
1366,Honda City,Orange,2021,15,Petrol,Manual,800,7,39.6
1367,Kia Seltos,Silver,2022,20,Diesel,Automatic,1984,5,34.4
1368,Maruti Alto,Silver,2019,12,Petrol,Automatic,1984,7,9.8
1369,Maruti Alto,Silver,2019,11,Petrol,Manual,1500,7,23.1
1370,Hyundai i20,Silver,2019,21,Petrol,Automatic,1400,7,30.3
1371,Kia Seltos,Red,2019,20,Diesel,Automatic,1498,5,43.5
1372,Ford EcoSport,Blue,2015,11,Diesel,Manual,1498,7,5.5
1373,Kia Seltos,Grey,2020,24,Petrol,Automatic,1984,7,9.6
1374,BMW X1,Green,2015,19,Diesel,Manual,1984,7,25.8
1375,Honda City,Grey,2019,13,Petrol,Manual,1500,5,26.3
1376,Hyundai i20,Silver,2019,10,Petrol,Automatic,1498,7,8.3
1377,Kia Seltos,White,2019,15,Diesel,Automatic,1984,7,15.5
1378,Ford EcoSport,Green,2022,13,Diesel,Manual,1200,7,21.5
1379,Ford EcoSport,Silver,2019,17,Diesel,Manual,800,5,34.6
1380,Maruti Alto,Green,2019,13,Diesel,Manual,2179,5,27.5
1381,Tata Nexon,Grey,2016,21,Diesel,Automatic,1200,7,34.7
1382,BMW X1,White,2016,23,Petrol,Automatic,2400,7,7.3
1383,Toyota Innova,Grey,2019,17,Petrol,Manual,2400,5,40.5
1384,Audi Q5,Silver,2020,16,Petrol,Manual,1500,5,44.4
1385,BMW X1,Yellow,2017,19,Diesel,Manual,800,5,17.2
1386,Tata Nexon,Black,2022,13,Petrol,Automatic,1500,5,31.3
1387,Toyota Innova,Green,2021,14,Diesel,Automatic,1498,7,53.3
1388,BMW X1,Blue,2020,14,Diesel,Manual,1200,7,16.0
1389,Mahindra XUV500,White,2018,18,Petrol,Automatic,1995,5,4.5
1390,Toyota Innova,Black,2018,19,Petrol,Manual,1498,5,24.7
1391,BMW X1,Yellow,2022,17,Petrol,Manual,800,5,35.3
1392,Honda City,White,2016,15,Diesel,Automatic,1995,7,3.7
1393,BMW X1,Silver,2022,20,Petrol,Automatic,800,7,19.0
1394,Honda City,Grey,2016,13,Petrol,Manual,1498,7,14.8
1395,Kia Seltos,Red,2020,13,Petrol,Automatic,1498,7,44.4
1396,Hyundai i20,Red,2016,19,Petrol,Automatic,1984,7,40.0
1397,Ford EcoSport,Brown,2018,22,Diesel,Manual,1500,7,54.5
1398,Ford EcoSport,Green,2020,12,Diesel,Manual,2400,7,50.7
1399,Tata Nexon,Green,2019,13,Diesel,Manual,1500,7,14.1
1400,BMW X1,White,2019,16,Petrol,Automatic,1200,5,34.5
1401,Mahindra XUV500,Grey,2021,24,Diesel,Automatic,1498,7,15.1
1402,Mahindra XUV500,Green,2019,11,Diesel,Manual,1995,7,37.0
1403,Honda City,Black,2019,24,Diesel,Manual,800,7,32.4
1404,Ford EcoSport,Green,2022,23,Diesel,Manual,1500,7,39.2
1405,Audi Q5,Blue,2016,15,Petrol,Automatic,1400,5,49.2
1406,Maruti Alto,White,2018,15,Diesel,Manual,1500,5,50.4
1407,Ford EcoSport,Yellow,2015,16,Petrol,Manual,1995,7,41.7
1408,Tata Nexon,Green,2020,21,Petrol,Automatic,1200,5,43.7
1409,Audi Q5,Silver,2021,24,Petrol,Manual,1500,5,12.0
1410,Kia Seltos,Red,2015,23,Petrol,Manual,2179,7,25.7
1411,Toyota Innova,Blue,2020,13,Petrol,Automatic,1500,5,34.7
1412,BMW X1,Blue,2022,11,Petrol,Automatic,1200,5,50.2
1413,Mahindra XUV500,Brown,2022,14,Petrol,Automatic,1498,5,45.0
1414,BMW X1,Green,2022,21,Diesel,Manual,1498,7,23.9
1415,Kia Seltos,Blue,2015,18,Petrol,Manual,1995,5,27.6
1416,Honda City,Orange,2015,15,Diesel,Manual,1984,7,45.7
1417,Audi Q5,Blue,2022,19,Petrol,Manual,1984,5,54.1
1418,Audi Q5,Green,2021,15,Petrol,Automatic,1984,5,34.0
1419,Tata Nexon,Yellow,2018,14,Diesel,Automatic,1500,5,14.5
1420,BMW X1,Orange,2018,19,Petrol,Automatic,1984,7,35.1
1421,Honda City,Black,2016,15,Diesel,Automatic,2179,7,4.6
1422,Honda City,Orange,2021,12,Diesel,Automatic,2179,7,6.2
1423,Maruti Alto,Grey,2022,20,Diesel,Manual,800,7,7.2
1424,Honda City,Red,2017,22,Diesel,Manual,1500,7,7.0
1425,Toyota Innova,Orange,2017,13,Petrol,Manual,2179,7,28.8
1426,Honda City,Red,2022,21,Diesel,Automatic,2179,5,23.8
1427,Ford EcoSport,Orange,2016,18,Petrol,Automatic,1995,5,35.7
1428,Hyundai i20,Brown,2018,15,Petrol,Automatic,1500,5,40.7
1429,Hyundai i20,Orange,2019,20,Diesel,Manual,1995,5,44.9
1430,Audi Q5,Green,2022,10,Petrol,Automatic,1498,5,33.7
1431,Honda City,Silver,2019,14,Diesel,Manual,1500,5,50.2
1432,Mahindra XUV500,Black,2018,10,Diesel,Automatic,800,7,54.4
1433,Hyundai i20,Orange,2017,15,Petrol,Automatic,2400,7,29.8
1434,Ford EcoSport,Yellow,2022,10,Petrol,Automatic,1400,5,4.9
1435,Honda City,Grey,2015,16,Diesel,Manual,2400,5,39.4
1436,BMW X1,Red,2017,21,Petrol,Manual,2400,7,11.1
1437,Kia Seltos,Black,2020,10,Petrol,Automatic,800,5,16.5
1438,Toyota Innova,Green,2016,16,Petrol,Automatic,1984,7,29.8
1439,Toyota Innova,White,2016,24,Diesel,Automatic,1500,7,33.0
1440,BMW X1,Blue,2017,19,Petrol,Automatic,1984,5,53.8
1441,BMW X1,Red,2017,20,Diesel,Manual,1498,5,39.1
1442,Hyundai i20,Green,2017,22,Petrol,Automatic,1498,7,11.2
1443,Honda City,Brown,2022,13,Diesel,Manual,1400,5,20.0
1444,Hyundai i20,White,2015,13,Diesel,Automatic,1995,7,40.9
1445,BMW X1,Blue,2017,23,Petrol,Manual,1500,7,41.3
1446,Kia Seltos,Red,2016,10,Petrol,Manual,1200,5,22.1
1447,Honda City,Yellow,2021,18,Diesel,Automatic,1984,5,31.4
1448,Toyota Innova,Silver,2016,22,Petrol,Manual,1995,7,45.8
1449,Kia Seltos,White,2018,10,Diesel,Manual,1400,5,28.1
1450,Tata Nexon,White,2017,24,Diesel,Manual,1498,5,27.4
1451,Audi Q5,Green,2017,23,Diesel,Automatic,1498,7,10.1
1452,Hyundai i20,Grey,2022,18,Diesel,Automatic,1498,5,32.6
1453,Maruti Alto,Green,2021,18,Petrol,Automatic,1498,7,7.9
1454,Tata Nexon,Red,2016,21,Diesel,Automatic,2400,7,24.4
1455,Honda City,Yellow,2020,22,Petrol,Manual,1498,5,12.9
1456,BMW X1,Grey,2019,19,Petrol,Manual,1984,5,18.4
1457,Ford EcoSport,Red,2022,13,Petrol,Automatic,1200,7,19.4
1458,Ford EcoSport,Black,2022,16,Petrol,Manual,2400,7,45.9
1459,Hyundai i20,White,2019,22,Diesel,Manual,800,5,31.4
1460,Honda City,Blue,2016,16,Petrol,Automatic,800,7,13.4
1461,Maruti Alto,Brown,2019,10,Petrol,Manual,1200,7,12.7
1462,Mahindra XUV500,Green,2020,12,Diesel,Manual,1200,5,17.4
1463,Ford EcoSport,Orange,2018,13,Diesel,Automatic,2179,7,29.2
1464,Honda City,White,2017,16,Diesel,Automatic,1500,7,54.6
1465,BMW X1,Yellow,2015,10,Diesel,Automatic,1984,5,24.8
1466,Tata Nexon,Blue,2017,21,Petrol,Automatic,1995,5,45.0
1467,Kia Seltos,Black,2020,13,Diesel,Automatic,1995,7,4.3
1468,Hyundai i20,Brown,2019,16,Petrol,Manual,2179,7,32.6
1469,Toyota Innova,Green,2019,17,Petrol,Manual,1984,7,37.8
1470,Mahindra XUV500,Grey,2016,15,Diesel,Automatic,1400,7,6.4
1471,Maruti Alto,Red,2022,14,Petrol,Automatic,2400,5,31.4
1472,Toyota Innova,Black,2017,22,Diesel,Manual,1498,5,46.6
1473,Ford EcoSport,Red,2022,22,Petrol,Automatic,1995,5,41.7
1474,Ford EcoSport,Grey,2018,12,Petrol,Manual,1200,5,44.9
1475,Audi Q5,Red,2019,19,Petrol,Automatic,1995,7,15.3
1476,Audi Q5,Red,2018,13,Diesel,Automatic,2400,7,8.6
1477,Ford EcoSport,Yellow,2019,23,Petrol,Automatic,1400,5,21.0
1478,Kia Seltos,Red,2017,24,Petrol,Manual,2400,5,48.0
1479,Mahindra XUV500,Black,2018,24,Diesel,Manual,800,5,54.4
1480,Honda City,Yellow,2017,18,Diesel,Manual,1500,5,17.5
1481,Toyota Innova,Green,2018,23,Petrol,Automatic,800,5,4.6
1482,Honda City,Silver,2020,11,Diesel,Manual,1995,5,18.5
1483,Toyota Innova,Black,2017,23,Petrol,Automatic,1984,7,48.2
1484,Ford EcoSport,Yellow,2022,22,Petrol,Manual,2400,5,22.2
1485,Audi Q5,Orange,2020,21,Diesel,Manual,1400,7,21.0
1486,Audi Q5,Silver,2016,13,Diesel,Manual,1200,7,41.7
1487,Audi Q5,Red,2017,23,Petrol,Automatic,2179,5,13.5
1488,Honda City,Black,2019,24,Petrol,Automatic,2179,7,48.0
1489,Maruti Alto,Black,2015,16,Diesel,Manual,1984,7,14.7
1490,Mahindra XUV500,Silver,2015,23,Petrol,Manual,1995,5,40.5
1491,Tata Nexon,Black,2015,12,Petrol,Manual,1995,5,25.2
1492,Tata Nexon,Silver,2016,16,Diesel,Manual,2400,5,28.3
1493,Toyota Innova,Orange,2021,14,Petrol,Manual,1984,7,29.8
1494,Ford EcoSport,Red,2019,16,Diesel,Automatic,1200,5,9.7
1495,Toyota Innova,Black,2016,16,Diesel,Automatic,1200,7,22.2
1496,Mahindra XUV500,Orange,2016,15,Diesel,Manual,1498,7,37.2
1497,Hyundai i20,Black,2016,13,Diesel,Automatic,1995,7,11.4
1498,Mahindra XUV500,Black,2019,23,Petrol,Automatic,1200,5,4.8
1499,Ford EcoSport,Red,2015,15,Petrol,Automatic,1498,5,47.5
1500,BMW X1,Green,2021,21,Diesel,Automatic,2400,5,46.8
1501,Hyundai i20,Yellow,2020,24,Diesel,Manual,1400,7,43.5
1502,Ford EcoSport,Orange,2022,23,Diesel,Automatic,1400,7,5.7
1503,Mahindra XUV500,Black,2017,18,Petrol,Manual,1200,5,23.7
1504,Ford EcoSport,Green,2020,17,Diesel,Manual,1498,7,8.2
1505,Kia Seltos,Red,2020,15,Petrol,Automatic,1200,5,10.0
1506,Audi Q5,Orange,2021,10,Diesel,Manual,1984,5,46.4
1507,BMW X1,Orange,2019,22,Petrol,Automatic,1200,5,51.6
1508,Tata Nexon,White,2019,12,Petrol,Automatic,1200,5,32.0
1509,Tata Nexon,Black,2018,15,Petrol,Automatic,2400,7,24.9
1510,Tata Nexon,Grey,2019,12,Petrol,Automatic,1400,7,33.0
1511,Toyota Innova,Green,2022,24,Petrol,Manual,2400,7,38.7
1512,Mahindra XUV500,Black,2017,12,Petrol,Manual,1995,5,32.1
1513,Audi Q5,Silver,2020,17,Diesel,Automatic,1400,7,3.5
1514,Audi Q5,Grey,2016,17,Petrol,Manual,1500,5,50.4
1515,Audi Q5,Grey,2017,24,Petrol,Automatic,1500,5,50.9
1516,Hyundai i20,White,2020,14,Petrol,Automatic,1400,5,36.4
1517,Mahindra XUV500,Black,2016,20,Petrol,Automatic,1995,7,48.3
1518,Audi Q5,Grey,2018,12,Petrol,Manual,1498,5,31.7
1519,Tata Nexon,Brown,2015,15,Petrol,Automatic,1995,7,18.7
1520,Ford EcoSport,Green,2022,18,Petrol,Automatic,2400,7,15.9
1521,Ford EcoSport,Silver,2017,17,Diesel,Automatic,1995,7,3.9
1522,Maruti Alto,Black,2022,11,Petrol,Automatic,1995,5,45.9
1523,Kia Seltos,Blue,2016,22,Petrol,Manual,1200,5,30.5
1524,Maruti Alto,Yellow,2017,22,Petrol,Manual,2400,7,27.3
1525,Kia Seltos,Green,2017,10,Diesel,Manual,1500,5,41.4
1526,Audi Q5,Brown,2019,19,Petrol,Manual,1500,7,39.1
1527,Tata Nexon,Yellow,2019,17,Petrol,Automatic,1498,7,36.3
1528,BMW X1,Black,2022,18,Petrol,Manual,1500,5,44.0
1529,Kia Seltos,Brown,2018,14,Diesel,Automatic,1995,5,16.6
1530,BMW X1,Orange,2020,12,Petrol,Manual,1995,7,18.3
1531,Ford EcoSport,Brown,2021,23,Petrol,Manual,1498,5,39.6
1532,Maruti Alto,Red,2020,14,Petrol,Manual,1200,7,21.2
1533,BMW X1,Grey,2020,14,Petrol,Automatic,2179,7,14.6
1534,Tata Nexon,White,2018,10,Diesel,Automatic,1400,7,14.2
1535,Hyundai i20,Brown,2018,23,Diesel,Automatic,800,7,18.8
1536,Mahindra XUV500,Black,2021,23,Diesel,Automatic,1400,5,27.4
1537,BMW X1,Brown,2021,10,Petrol,Manual,800,5,29.5
1538,Ford EcoSport,Blue,2021,10,Diesel,Manual,1500,5,44.0
1539,Maruti Alto,Green,2018,22,Petrol,Manual,1984,7,27.3
1540,Mahindra XUV500,White,2021,23,Diesel,Manual,1498,7,38.3
1541,Audi Q5,Orange,2019,18,Diesel,Manual,1995,7,11.5
1542,Maruti Alto,Orange,2016,22,Diesel,Manual,1995,5,16.9
1543,Mahindra XUV500,Red,2016,13,Diesel,Manual,2400,5,37.2
1544,Honda City,Black,2022,13,Diesel,Automatic,1400,5,11.2
1545,BMW X1,White,2022,16,Petrol,Manual,1984,7,33.4
1546,Mahindra XUV500,Grey,2019,17,Diesel,Automatic,1400,7,17.3
1547,Ford EcoSport,Yellow,2015,18,Diesel,Automatic,1995,5,35.9
1548,Audi Q5,Orange,2017,16,Diesel,Automatic,800,5,29.9
1549,Tata Nexon,Blue,2016,10,Petrol,Manual,1995,7,31.9
1550,Toyota Innova,Blue,2021,19,Diesel,Automatic,1995,7,48.1
1551,Tata Nexon,Brown,2018,10,Petrol,Manual,1984,7,34.3
1552,Kia Seltos,Black,2022,14,Diesel,Manual,1995,7,48.0
1553,Kia Seltos,White,2020,12,Petrol,Manual,1400,5,34.4
1554,Mahindra XUV500,Orange,2021,12,Petrol,Automatic,1400,7,7.6
1555,Honda City,Green,2017,20,Petrol,Automatic,2179,7,45.1
1556,Ford EcoSport,Yellow,2016,20,Diesel,Automatic,1400,5,26.8
1557,Honda City,Red,2017,17,Petrol,Manual,1400,7,45.4
1558,Audi Q5,Green,2017,21,Diesel,Manual,1500,7,44.7
1559,Honda City,Silver,2019,11,Diesel,Automatic,800,7,33.0
1560,Kia Seltos,Grey,2016,18,Petrol,Automatic,800,7,31.8
1561,Mahindra XUV500,Yellow,2022,17,Diesel,Manual,1984,5,41.6
1562,Audi Q5,White,2017,12,Diesel,Manual,1984,5,33.4
1563,Toyota Innova,Silver,2019,22,Diesel,Automatic,1200,7,9.9
1564,Maruti Alto,Brown,2015,16,Diesel,Manual,1498,7,10.2
1565,Maruti Alto,Red,2021,11,Petrol,Manual,1498,5,18.0
1566,BMW X1,Red,2018,23,Petrol,Automatic,1498,5,26.0
1567,Tata Nexon,Red,2022,12,Petrol,Automatic,2400,7,23.6
1568,Audi Q5,Brown,2022,24,Petrol,Manual,1400,7,43.2
1569,Ford EcoSport,Grey,2015,22,Diesel,Automatic,1498,7,32.2
1570,Mahindra XUV500,Grey,2021,17,Petrol,Automatic,1995,7,53.8
1571,Ford EcoSport,White,2022,13,Diesel,Manual,1500,7,46.4
1572,Maruti Alto,Black,2015,11,Petrol,Automatic,2400,5,37.9
1573,BMW X1,Blue,2018,20,Petrol,Automatic,1500,5,17.5
1574,Audi Q5,Black,2016,12,Petrol,Automatic,2179,7,17.2
1575,Kia Seltos,Green,2016,21,Petrol,Automatic,2179,5,15.0
1576,Hyundai i20,Grey,2022,12,Diesel,Manual,1498,7,18.6
1577,Kia Seltos,Silver,2022,23,Diesel,Automatic,1400,5,8.4
1578,BMW X1,Red,2022,19,Petrol,Manual,1500,5,23.3
1579,Tata Nexon,Red,2021,14,Diesel,Manual,1200,5,34.8
1580,Maruti Alto,Brown,2020,11,Diesel,Automatic,1500,5,10.8
1581,Maruti Alto,Brown,2016,20,Diesel,Automatic,2179,7,34.2
1582,Toyota Innova,Black,2017,23,Petrol,Automatic,1984,5,49.4
1583,Ford EcoSport,Grey,2019,14,Petrol,Automatic,1498,7,10.7
1584,BMW X1,White,2021,20,Petrol,Automatic,1500,7,48.5
